token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
aplikator,228,False,"potongan biaya aplikasi 1000-3000, potongan dari ongkos yg dibayar penumpang 20% kadang lebih, sekarang aplika",,
double,226,False,double order tambah lama nunggunya bagi customer,,
pay,226,False,"kok gojek ga ada fitur pembayaran pke qris ya min, gabisa ditambahin fitur qris nya, biar mempermudah juga ora",,
ngotak,225,False,ga ngotak nih operatornya..... jauh² bangetz driver nya.,,
yah,225,False,"kasih saran aja deh ,klu bisa dalam pemesanan makanan atau minuman ,bisa ggk yah ongkir nya jangan mahal2 ,ser",,
gojeg,225,False,gojeg mantap,,
dipake,222,False,"alhamdulillah udh bisa login lgi. dlu gabisa login karna harus verifikasi pake nomor yg lama, sedangkan nomor ",,
bnyk,222,False,"bagus driver nya ramah"" dan ngerti etika, kalo ngobrol sama penumpang juga tau batasan mau beralih netap di si",,
ad,219,False,"kocak,tiap mau pesen makan..sebelumnya ad promo diskon bayar pake superbank,tp pas tiap mau dibayar,promo nya ",,
ko,218,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",,
slalu,218,False,sukses slalu buat gojek,,
is,217,False,gojek is the best cukup klik di apl ini lebih simpel dan semuanya bisa di klik aja deh gojek sllu di hati,,
ilang,216,False,"kocak,tiap mau pesen makan..sebelumnya ad promo diskon bayar pake superbank,tp pas tiap mau dibayar,promo nya ",,
skrng,215,False,kok skrng malah susah bgt ya dpt driver? pada kemana ini driver nya?,,
bnyak,215,False,bnyak promo diskon skrng,,
mager,214,False,sangat membantu mesan makan yg lagi mager hehe,,
argo,211,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",,
kaga,210,False,"halah dikit' internet mati internet mati, sinyal aja kaga jelek. gila ni apk jadi lama buat pesen nya",,
pak,208,False,"aplikasi sangat berguna, terimakasih pak driver , driver sangat ramah",,
kl,205,False,woy ... customer...kl cuma argo 16 ribu g usah pesen taksi online lu. pesen bluebird aj lu...bikin ribet aj lu,,
muter,204,False,"gofood dapet driver tua bangka, udah deh tamat.. nyari alamat muter² bloon",,
it,204,False,"ini gojek kenapa selalu nyari driver yg jauh si padahal driver disekitar kita tuh banyak, jadi buang buang wak",,
nerima,202,False,"banyak driver tolol, nerima orderan tapi ditungguin gak jalan jalan",,
nyampe,201,False,"aplikasi rusak udh nunggu lama lama dibatalin terus ampe 6 kali, estimasi nyampe 14 menit pas udh 2 menit driv",,
simple,198,False,simple and helpfull,,
milih,194,False,susah milih titik apabila manual suka pindah otomatis untuk pemesanan goride/gocar,,
krna,190,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",,
dlu,190,False,"alhamdulillah udh bisa login lgi. dlu gabisa login karna harus verifikasi pake nomor yg lama, sedangkan nomor ",,
urgent,189,False,kenapa si nyari drivernya susahh bangettt pdhl kdng urgent😞,,
upgrade,188,False,"mengapa aku tidak bisa upgrade nih applikasi, padahal aku buat pakai harian perihal keluar masuknya uang aku,",,
gofoodnya,186,False,"di kolom pencarian kok gangguan melulu yah... saya mau mesen makanan pas di cari "" maaf lagi gangguan"". kalau ",,
trimakasih,186,False,ok trimakasih banyak promonya.,,
gercep,186,False,"gercep, ramah, amanah",,
pke,183,False,"kalo hari hujan susah cri driver padahal banyao driver yang stan by, padah kita butuh cepat klo gini cara gk u",,
internet,181,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",,
dn,180,False,awal2 murah. tapi makin hari tarif nya makin mahal. padahal dengan jarak tempuh yg sama. rmh kantor. kantor ru,,
bgus,177,False,bgus,,
mantappp,174,False,mantappp,,
mantep,174,False,mantep sukses buwat gojek,,
engga,173,False,"lag banget woilah, ui + animasi nya di kurangin, minimaliskan ui nya, memang keren kalau kompleks, tapi kasian",,
rp,169,False,"31 desember 2025 jam 01:35, saya pesan makan 3 bebek goreng dengan harga rp.35.000 diaplikasi dan totalnya rp.",,
lbh,169,False,"mungkin untuk driver cikarang dan sekitarnya,lbh baik lg(sopan)... berbeda sm driver2 jkrt yang pd sopan2",,
restonya,168,False,sok-sokan pasang tarif pengiriman termahal dari aplikasi ojol lain. tapi nyatanya gojek tetap tidak bisa memas,,
donk,168,False,sering nemuin driver nolak orderan dengan cuma jawab iya pdhal jarak cuma 500 meter krna argo receh dan saya d,,
pdhal,164,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",,
smpe,164,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,,
topup,164,False,"udh lama pake gojek, baru kali ini topup gopay malah gk masuk. turun b1 aja lah, masa iya disuruh nunggu 48 ja",,
byk,161,False,byk promo makin seneng blanjanya,,
aj,161,False,bgs aj,,
