bulan,kategori,jumlah,periode_parsial
2025-11-01,Transaksi & Saldo GoPay,202,False
2025-11-01,Performa & Gangguan Aplikasi,179,False
2025-11-01,Akurasi Lokasi & Rute,149,False
2025-11-01,"Akun, Login & Verifikasi",122,False
2025-12-01,Ketersediaan & Respons Mitra Driver,572,False
2025-12-01,Pesanan GoFood & Pembatalan,527,False
2025-12-01,Layanan Pelanggan & Penanganan Keluhan,362,False
2025-12-01,"Tarif, Ongkir & Promo",259,False
2025-12-01,Akurasi Lokasi & Rute,192,False
2025-12-01,"GoPayLater, GoPinjam & Penagihan",172,False
2025-12-01,Performa & Gangguan Aplikasi,172,False
2025-12-01,Transaksi & Saldo GoPay,163,False
2025-12-01,"Akun, Login & Verifikasi",115,False
